rookie_alpha_rank,player_id,player_name,position,ras_0_100,athletic_score_0_100,athletic_source,production_0_100,draft_capital_proxy_0_100,talent_score_0_100,rookie_alpha_0_100,consensus_position_rank_blended,consensus_score_positional_0_100,evidence_completeness_score,consensus_delta_positional_raw,consensus_delta_positional_cap_limit,consensus_delta_positional_cap_tier,consensus_delta_positional,evidence_tier,evidence_tier_reason,is_capped_disagreement,market_investment_delta_legacy,talent_rank,draft_proxy_delta,model_inputs_missing,market_conviction_ras_override,wr_translation_penalty
1,rb-omarion-hampton,Omarion Hampton,RB,,95.8,SPORQ,77.0,78.0,85.225,83.78,2,74.0,0.1,9.8,5.0,<0.40,5.0,insufficient_evidence,Profile relies on sparse evidence or fallback inputs,True,5.8,1,0,,,
2,qb-cam-ward,Cam Ward,QB,60.7025,60.7025,RAS,90.0,97.0,77.1823,81.1459,1,82.0,0.15,-0.9,5.0,<0.40,-0.9,insufficient_evidence,Profile relies on sparse evidence or fallback inputs,False,-15.9,6,4,,,
3,rb-ashton-jeanty,Ashton Jeanty,RB,53.6228,53.6228,RAS_PARTIAL,95.0,90.0,76.8975,79.518,1,79.0,0.25,0.5,5.0,<0.40,0.5,insufficient_evidence,Profile relies on sparse evidence or fallback inputs,False,-10.5,7,4,,,
4,te-tyler-warren,Tyler Warren,TE,,55.1312,COMBINE_FALLBACK,95.0,85.0,77.5574,79.0459,2,73.0,0.1,6.0,5.0,<0.40,5.0,insufficient_evidence,Profile relies on sparse evidence or fallback inputs,True,-6.0,5,1,,,
5,rb-rj-harvey,RJ Harvey,RB,55.753,72.4241,RAS_SPORQ_BLEND,93.0,58.0,83.998,78.7984,5,61.0,0.0,17.8,5.0,<0.40,5.0,insufficient_evidence,Profile relies on sparse evidence or fallback inputs,True,20.8,2,-3,,,
6,te-harold-fannin-jr,Harold Fannin Jr.,TE,55.3036,55.3036,RAS,95.0,70.0,77.6328,76.1063,3,67.0,0.15,9.1,5.0,<0.40,5.0,insufficient_evidence,Profile relies on sparse evidence or fallback inputs,True,6.1,4,-2,,,
7,wr-tetairoa-mcmillan,Tetairoa McMillan,WR,,50.0,NEUTRAL_DEFAULT,87.5,90.0,71.0938,74.875,2,75.0,0.1,-0.1,5.0,<0.40,-0.1,insufficient_evidence,Profile relies on sparse evidence or fallback inputs,False,-15.1,18,11,,,
8,wr-travis-hunter,Travis Hunter,WR,,50.0,NEUTRAL_DEFAULT,84.5,95.0,69.4062,74.525,1,80.0,0.1,-5.5,5.0,<0.40,-5.0,insufficient_evidence,Profile relies on sparse evidence or fallback inputs,False,-20.5,24,16,,,
9,qb-jaxson-dart,Jaxson Dart,QB,52.6854,52.6854,RAS,83.0,80.0,69.7374,71.7899,2,77.0,0.15,-5.2,5.0,<0.40,-5.0,insufficient_evidence,Profile relies on sparse evidence or fallback inputs,False,-8.2,22,13,,,
10,rb-quinshon-judkins,Quinshon Judkins,RB,60.5913,74.0952,RAS_SPORQ_BLEND,69.5,68.0,71.5104,70.8083,3,69.0,0.1,1.8,5.0,<0.40,1.8,insufficient_evidence,Profile relies on sparse evidence or fallback inputs,False,2.8,14,4,,,
11,te-elijah-arroyo,Elijah Arroyo,TE,62.2726,62.2726,RAS,80.0,58.0,72.2443,69.3954,6,56.0,0.15,13.4,5.0,<0.40,5.0,insufficient_evidence,Profile relies on sparse evidence or fallback inputs,True,11.4,11,0,,,
12,te-mason-taylor,Mason Taylor,TE,49.1395,49.1395,RAS,84.0,70.0,68.7485,68.9988,4,63.0,0.15,6.0,5.0,<0.40,5.0,insufficient_evidence,Profile relies on sparse evidence or fallback inputs,True,-1.0,26,14,,,
13,te-oronde-gadsden-ii,Oronde Gadsden II,TE,66.4053,66.4053,RAS,81.0,45.0,74.6148,68.6918,7,53.0,0.15,15.7,5.0,<0.40,5.0,insufficient_evidence,Profile relies on sparse evidence or fallback inputs,True,23.7,10,-3,,,
14,rb-kaleb-johnson,Kaleb Johnson,RB,,59.9,SPORQ,80.0,58.0,71.2062,68.565,6,58.0,0.1,10.6,5.0,<0.40,5.0,insufficient_evidence,Profile relies on sparse evidence or fallback inputs,True,10.6,16,2,,,
15,qb-will-howard,Will Howard,QB,54.345,54.345,RAS,84.0,58.0,71.0259,68.4208,5,62.0,0.15,6.4,5.0,<0.40,5.0,insufficient_evidence,Profile relies on sparse evidence or fallback inputs,True,10.4,19,4,,,
16,rb-dj-giddens,DJ Giddens,RB,62.3129,76.7521,RAS_SPORQ_BLEND,80.0,27.0,78.579,68.2632,14,42.0,0.0,26.3,5.0,<0.40,5.0,insufficient_evidence,Profile relies on sparse evidence or fallback inputs,True,41.3,3,-13,,,
17,rb-bhayshul-tuten,Bhayshul Tuten,RB,65.2484,80.7066,RAS_SPORQ_BLEND,73.0,35.0,76.3716,68.0973,8,52.0,0.0,16.1,5.0,<0.40,5.0,insufficient_evidence,Profile relies on sparse evidence or fallback inputs,True,33.1,8,-9,,,
18,wr-jayden-higgins,Jayden Higgins,WR,52.1871,52.1871,RAS_PARTIAL,78.0,70.0,66.7068,67.3655,4,67.0,0.15,0.4,5.0,<0.40,0.4,insufficient_evidence,Profile relies on sparse evidence or fallback inputs,False,-2.6,29,11,,,
19,wr-luther-burden-iii,Luther Burden III,WR,,50.0,NEUTRAL_DEFAULT,80.0,68.0,66.875,67.1,5,63.0,0.1,4.1,5.0,<0.40,4.1,insufficient_evidence,Profile relies on sparse evidence or fallback inputs,False,-0.9,28,9,,,
20,rb-trevon-henderson,TreVeyon Henderson,RB,64.9027,71.5165,RAS_SPORQ_BLEND,62.0,68.0,66.1635,66.5308,4,65.0,0.1,1.5,5.0,<0.40,1.5,insufficient_evidence,Profile relies on sparse evidence or fallback inputs,False,-1.5,31,11,,,
21,rb-cam-skattebo,Cam Skattebo,RB,,50.0,NEUTRAL_DEFAULT,87.5,48.0,71.0938,66.475,7,55.0,0.1,11.5,5.0,<0.40,5.0,insufficient_evidence,Profile relies on sparse evidence or fallback inputs,True,18.5,17,-4,,,
22,wr-jaylin-noel,Jaylin Noel,WR,60.7014,60.7014,RAS,80.0,45.0,71.5569,66.2455,11,47.0,0.15,19.2,5.0,<0.40,5.0,insufficient_evidence,Profile relies on sparse evidence or fallback inputs,True,21.2,13,-9,,,
23,wr-tai-felton,Tai Felton,WR,57.8821,57.8821,RAS_PARTIAL,82.0,45.0,71.4484,66.1587,13,43.0,0.15,23.2,5.0,<0.40,5.0,insufficient_evidence,Profile relies on sparse evidence or fallback inputs,True,21.2,15,-8,,,
24,rb-tahj-brooks,Tahj Brooks,RB,47.3831,58.0557,RAS_SPORQ_BLEND,88.0,27.0,74.8994,65.3195,18,39.5,0.0,25.8,5.0,<0.40,5.0,insufficient_evidence,Profile relies on sparse evidence or fallback inputs,True,38.3,9,-15,,,
25,qb-tyler-shough,Tyler Shough,QB,51.6303,51.6303,RAS,73.0,70.0,63.6507,64.9206,3,72.0,0.15,-7.1,5.0,<0.40,-5.0,insufficient_evidence,Profile relies on sparse evidence or fallback inputs,True,-5.1,35,10,,,
26,rb-dylan-sampson,Dylan Sampson,RB,42.2182,42.2182,RAS_PARTIAL,95.0,35.0,71.908,64.5264,11,46.0,0.15,18.5,5.0,<0.40,5.0,insufficient_evidence,Profile relies on sparse evidence or fallback inputs,True,29.5,12,-14,,,
27,qb-jalen-milroe,Jalen Milroe,QB,70.2541,70.2541,RAS,68.0,45.0,68.9862,64.1889,6,58.0,0.15,6.2,5.0,<0.40,5.0,insufficient_evidence,Profile relies on sparse evidence or fallback inputs,True,19.2,25,-2,,,
28,te-colston-loveland,Colston Loveland,TE,,57.6255,COMBINE_FALLBACK,57.5,90.0,57.5549,64.0439,1,79.0,0.1,-15.0,5.0,<0.40,-5.0,insufficient_evidence,Profile relies on sparse evidence or fallback inputs,True,-26.0,50,22,,,
29,te-terrance-ferguson,Terrance Ferguson,TE,57.0943,57.0943,RAS,72.0,58.0,65.4787,63.983,5,59.0,0.15,5.0,5.0,<0.40,5.0,insufficient_evidence,Profile relies on sparse evidence or fallback inputs,False,6.0,32,3,,,
30,wr-emeka-egbuka,Emeka Egbuka,WR,,50.0,NEUTRAL_DEFAULT,73.0,68.0,62.9375,63.95,3,71.0,0.1,-7.0,5.0,<0.40,-5.0,insufficient_evidence,Profile relies on sparse evidence or fallback inputs,True,-4.0,37,7,,,4.0
31,wr-matthew-golden,Matthew Golden,WR,,50.0,NEUTRAL_DEFAULT,69.5,68.0,60.9688,62.375,4,67.0,0.1,-4.6,5.0,<0.40,-4.6,insufficient_evidence,Profile relies on sparse evidence or fallback inputs,False,-5.6,42,11,,,
32,qb-shedeur-sanders,Shedeur Sanders,QB,,43.6724,COMBINE_FALLBACK,87.5,38.0,68.3254,62.2603,8,51.0,0.1,11.3,5.0,<0.40,5.0,insufficient_evidence,Profile relies on sparse evidence or fallback inputs,True,24.3,27,-5,,,
33,wr-tre-harris,Tre Harris,WR,40.3904,40.3904,RAS_PARTIAL,80.0,58.0,62.6708,61.7367,6,60.0,0.15,1.7,5.0,<0.40,1.7,insufficient_evidence,Profile relies on sparse evidence or fallback inputs,False,3.7,38,5,,,
34,wr-kyle-williams,Kyle Williams,WR,36.5772,36.5772,RAS_PARTIAL,80.0,58.0,61.0025,60.402,8,54.0,0.15,6.4,5.0,<0.40,5.0,insufficient_evidence,Profile relies on sparse evidence or fallback inputs,True,2.4,41,7,,,
35,rb-damien-martinez,Damien Martinez,RB,48.685,60.6618,RAS_SPORQ_BLEND,77.0,20.0,69.852,59.8816,19,39.0,0.0,20.9,5.0,<0.40,5.0,insufficient_evidence,Profile relies on sparse evidence or fallback inputs,True,39.9,20,-15,,,
36,rb-brashard-smith,Brashard Smith,RB,48.0297,43.8763,RAS_SPORQ_BLEND,90.0,20.0,69.8209,59.8567,20,38.5,0.0,21.4,5.0,<0.40,5.0,insufficient_evidence,Profile relies on sparse evidence or fallback inputs,True,39.9,21,-15,,,
37,rb-lequint-allen,Lequint Allen,RB,39.2857,39.2857,RAS_PARTIAL,93.0,20.0,69.5,59.6,22,37.5,0.15,22.1,5.0,<0.40,5.0,insufficient_evidence,Profile relies on sparse evidence or fallback inputs,True,39.6,23,-14,,,
38,rb-devin-neal,Devin Neal,RB,46.298,46.8389,RAS_SPORQ_BLEND,82.0,27.0,66.617,58.6936,16,40.5,0.0,18.2,5.0,<0.40,5.0,insufficient_evidence,Profile relies on sparse evidence or fallback inputs,True,31.7,30,-8,,,
39,rb-woody-marks,Woody Marks,RB,41.4583,41.4583,RAS,82.0,35.0,64.263,58.4104,10,48.0,0.15,10.4,5.0,<0.40,5.0,insufficient_evidence,Profile relies on sparse evidence or fallback inputs,True,23.4,33,-6,,,
40,rb-jaydon-blue,Jaydon Blue,RB,44.0009,53.9005,RAS_SPORQ_BLEND,72.0,35.0,64.0815,58.2652,13,43.0,0.0,15.3,5.0,<0.40,5.0,insufficient_evidence,Profile relies on sparse evidence or fallback inputs,True,23.3,34,-6,,,
41,wr-jack-bech,Jack Bech,WR,37.2228,37.2228,RAS_PARTIAL,73.0,58.0,57.3475,57.478,7,57.0,0.15,0.5,5.0,<0.40,0.5,insufficient_evidence,Profile relies on sparse evidence or fallback inputs,False,-0.5,51,10,,,
42,wr-elic-ayomanor,Elic Ayomanor,WR,49.8588,49.8588,RAS_PARTIAL,72.0,35.0,62.3132,56.8506,19,39.0,0.15,17.9,5.0,<0.40,5.0,insufficient_evidence,Profile relies on sparse evidence or fallback inputs,True,21.9,39,-3,,,
43,rb-trevor-etienne,Trevor Etienne,RB,49.6753,61.8364,RAS_SPORQ_BLEND,62.0,35.0,61.9284,56.5427,9,50.0,0.0,6.5,5.0,<0.40,5.0,insufficient_evidence,Profile relies on sparse evidence or fallback inputs,True,21.5,40,-3,,,
44,te-gunnar-helm,Gunnar Helm,TE,43.176,43.176,RAS,74.0,35.0,60.5145,55.4116,9,47.0,0.15,8.4,5.0,<0.40,5.0,insufficient_evidence,Profile relies on sparse evidence or fallback inputs,True,20.4,43,-1,,,
45,wr-pat-bryant,Pat Bryant,WR,31.5539,31.5539,RAS_PARTIAL,72.0,58.0,54.3048,55.0439,10,49.0,0.15,6.0,5.0,<0.40,5.0,insufficient_evidence,Profile relies on sparse evidence or fallback inputs,True,-3.0,58,13,,,
46,rb-jordan-james,Jordan James,RB,33.4283,29.1856,RAS_SPORQ_BLEND,83.0,35.0,59.4562,54.565,12,44.0,0.0,10.6,5.0,<0.40,5.0,insufficient_evidence,Profile relies on sparse evidence or fallback inputs,True,19.6,45,-1,,,
47,rb-phil-mafah,Phil Mafah,RB,,50.0,NEUTRAL_DEFAULT,73.0,20.0,62.9375,54.35,23,37.0,0.0,17.4,5.0,<0.40,5.0,insufficient_evidence,Profile relies on sparse evidence or fallback inputs,True,34.4,36,-11,,,
48,wr-jalen-royals,Jalen Royals,WR,,50.0,NEUTRAL_DEFAULT,65.0,35.0,58.4375,53.75,18,39.5,0.0,14.2,5.0,<0.40,5.0,insufficient_evidence,Profile relies on sparse evidence or fallback inputs,True,18.8,46,-2,,,
49,qb-riley-leonard,Riley Leonard,QB,46.0891,46.0891,RAS,68.0,35.0,58.414,53.7312,7,54.0,0.15,-0.3,5.0,<0.40,-0.3,insufficient_evidence,Profile relies on sparse evidence or fallback inputs,False,18.7,47,-2,,,
50,wr-chimere-dike,Chimere Dike,WR,55.0279,55.0279,RAS,58.0,35.0,56.6997,52.3598,14,42.0,0.15,10.4,5.0,<0.40,5.0,insufficient_evidence,Profile relies on sparse evidence or fallback inputs,True,17.4,55,5,,,
51,wr-tez-johnson,Tez Johnson,WR,45.1689,45.1689,RAS,72.0,20.0,60.2614,52.2091,21,38.0,0.15,14.2,5.0,<0.40,5.0,insufficient_evidence,Profile relies on sparse evidence or fallback inputs,True,32.2,44,-7,,,
52,rb-ollie-gordon-ii,Ollie Gordon II,RB,40.0677,43.2772,RAS_SPORQ_BLEND,70.0,27.0,58.3088,52.047,15,41.0,0.0,11.0,5.0,<0.40,5.0,insufficient_evidence,Profile relies on sparse evidence or fallback inputs,True,25.0,48,-4,,,
53,qb-dillon-gabriel,Dillon Gabriel,QB,,12.119,COMBINE_FALLBACK,80.0,58.0,50.3021,51.8416,4,67.0,0.1,-15.2,5.0,<0.40,-5.0,insufficient_evidence,Profile relies on sparse evidence or fallback inputs,True,-6.2,64,11,,,
54,rb-kalel-mullings,Kalel Mullings,RB,,50.0,NEUTRAL_DEFAULT,64.0,27.0,57.875,51.7,17,40.0,0.0,11.7,5.0,<0.40,5.0,insufficient_evidence,Profile relies on sparse evidence or fallback inputs,True,24.7,49,-5,,,
55,qb-kyle-mccord,Kyle McCord,QB,40.6627,40.6627,RAS,70.0,27.0,57.1649,51.132,9,48.0,0.15,3.1,5.0,<0.40,3.1,insufficient_evidence,Profile relies on sparse evidence or fallback inputs,False,24.1,52,-3,,,
56,wr-tory-horton,Tory Horton,WR,48.6687,48.6687,RAS_PARTIAL,63.0,27.0,56.73,50.784,20,38.5,0.15,12.3,5.0,<0.40,5.0,insufficient_evidence,Profile relies on sparse evidence or fallback inputs,True,23.8,54,-2,,,
57,wr-arian-smith,Arian Smith,WR,50.2392,50.2392,RAS,58.0,35.0,54.6046,50.6837,16,40.5,0.15,10.2,5.0,<0.40,5.0,insufficient_evidence,Profile relies on sparse evidence or fallback inputs,True,15.7,57,0,,,
58,wr-isaac-teslaa,Isaac TeSlaa,WR,53.7794,53.7794,RAS,45.0,58.0,48.841,50.6728,9,51.0,0.15,-0.3,5.0,<0.40,-0.3,insufficient_evidence,Profile relies on sparse evidence or fallback inputs,False,-7.3,65,7,,,
59,wr-donte-thornton-jr,Dont'e Thornton Jr.,WR,51.095,51.095,RAS_PARTIAL,55.0,35.0,53.2915,49.6332,15,41.0,0.15,8.6,5.0,<0.40,5.0,insufficient_evidence,Profile relies on sparse evidence or fallback inputs,True,14.6,59,0,,,
60,wr-savion-williams,Savion Williams,WR,51.8044,51.8044,RAS_PARTIAL,50.0,45.0,50.7894,49.6315,12,45.0,0.15,4.6,5.0,<0.40,4.6,insufficient_evidence,Profile relies on sparse evidence or fallback inputs,False,4.6,63,3,,,
61,rb-kyle-monangai,Kyle Monangai,RB,34.2974,30.0686,RAS_SPORQ_BLEND,78.0,20.0,57.03,49.624,21,38.0,0.0,11.6,5.0,<0.40,5.0,insufficient_evidence,Profile relies on sparse evidence or fallback inputs,True,29.6,53,-8,,,
62,qb-quinn-ewers,Quinn Ewers,QB,31.6498,31.6498,RAS,76.0,20.0,56.5968,49.2774,10,46.0,0.15,3.3,5.0,<0.40,3.3,insufficient_evidence,Profile relies on sparse evidence or fallback inputs,False,29.3,56,-6,,,
63,wr-jaylin-lane,Jaylin Lane,WR,61.9793,61.9793,RAS,45.0,35.0,52.4284,48.9427,17,40.0,0.15,8.9,5.0,<0.40,5.0,insufficient_evidence,Profile relies on sparse evidence or fallback inputs,True,13.9,61,-2,,,
64,te-mitchell-evans,Mitchell Evans,TE,38.9872,38.9872,RAS,62.0,35.0,51.9319,48.5455,8,50.0,0.15,-1.5,5.0,<0.40,-1.5,insufficient_evidence,Profile relies on sparse evidence or fallback inputs,False,13.5,62,-2,,,
65,qb-cam-miller,Cam Miller,QB,40.6663,40.6663,RAS,62.0,20.0,52.6665,46.1332,,,0.15,,,,,insufficient_evidence,Positional consensus unavailable for confidence labeling,False,26.1,60,-5,,,
66,rb-jacory-croskey-merritt,Jacory Croskey-Merritt,RB,53.7486,53.7486,RAS_PARTIAL,42.0,20.0,47.14,41.712,24,36.5,0.15,5.2,5.0,<0.40,5.0,insufficient_evidence,Profile relies on sparse evidence or fallback inputs,False,21.7,66,0,,,
67,te-jackson-hawes,Jackson Hawes,TE,21.881,21.881,RAS,52.0,20.0,38.8229,35.0583,,,0.15,,,,,insufficient_evidence,Positional consensus unavailable for confidence labeling,False,15.1,67,0,,,
